avilaTungstenIsotopicCompositions2011,10.1088/0004-637X/744/1/49,AVILAETAL2011
barzykConstraining13CNeutron2007,10.1111/j.1945-5100.2007.tb00563.x,BARZYKETAL2007
gyngardLithiumBoronSulphur2007,,GYNGARDETAL2007
heckLifetimesInterstellarDust2020,10.1073/pnas.1904573117,HECKETAL2020
hoppeEvidenceExtinctVanadium492002,10.1086/342785,HOPPE&BESMEHN2002
hussTitaniumIsotopicCompositions2007,10.1111/j.1945-5100.2007.tb00561.x,HUSS&SMITH2007
linIsotopicAnalysisSupernova2010,10.1088/0004-637X/709/2/1157,LINETAL2010
pellinCompleteIsotopicAnalysis2000a,,PELLINETAL2000
SiC-1992-AMA-0,10.1086/186468,AMARIETAL1992
SiC-1992-VIR-0,10.1016/0016-7037(92)90237-D,VIRAGETAL1992
SiC-1993-ALE-0,10.1016/0016-7037(93)90395-D,ALEXANDER1993
SiC-1993-HOP-0,10.1016/0016-7037(93)90353-X,HOPPEETAL1993
SiC-1994-HOP-0,10.1086/174458,HOPPEETAL1994
SiC-1996-HOP-0,10.1016/0016-7037(95)00435-1,HOPPEETAL1996
SiC-1996-HOP-1,10.1126/science.272.5266.1314,HOPPEETAL1996B
SiC-1996-HOP-2,,HOPPEETAL1996C
SiC-1996-NIT-0,10.1088/1538-4357/462/1/L31,NITTLERETAL1996
SiC-1996-NIT-1,,NITTLER1996
SiC-1997-GAO-0,,GAO&NITTLER1997
SiC-1997-HOP-0,10.1086/310869,HOPPEETAL1997
SiC-1997-HUS-0,10.1016/S0016-7037(97)00299-8,HUSSETAL1997
SiC-1997-NIC-0,10.1126/science.277.5330.1281,NICOLUSSIETAL1997
SiC-1998-NIC-0,10.1016/S0016-7037(98)00038-6,NICOLUSSIETAL1998
SiC-1998-NIC-1,10.1103/PhysRevLett.81.3583,NICOLUSSIETAL1998B
SiC-1999-ALE-0,10.1086/307340,ALEXANDER&NITTLE1999
SiC-1999-AMA-0,10.1086/312013,AMARIETAL1999
SiC-2000-HOP-0,10.1111/j.1945-5100.2000.tb01505.x,HOPPEETAL2000
SiC-2000-PEL-0,,PELLINETAL2000B
SiC-2001-AMA-0,10.1086/318230,AMARIETAL2001
SiC-2001-AMA-1,10.1086/320235,AMARIETAL2001B
SiC-2001-AMA-2,10.1086/322397,AMARIETAL2001C
SiC-2001-BES-0,,BESMEHN2001
SiC-2001-HOP-0,10.1086/320075,HOPPEETAL2001
SiC-2002-JEN-0,,JENNINGSETAL2002
SiC-2002-LIN-0,10.1086/341218,LINETAL2002
SiC-2003-AMA-0,,AMARIETAL2003
SiC-2003-BES-0,10.1016/S0016-7037(03)00239-4,BESMEHN&HOPPE2003
SiC-2003-NIT-0,10.1016/S0016-7037(03)00485-X,NITTLER&ALEXANDE2003
SiC-2003-SAV-0,10.1016/S0016-7037(03)00083-8,SAVINAETAL2003
SiC-2004-MAR-0,,MARHASETAL2004
